Altium Designer Pick and Place Locations
D:\ProjektiOtvoreni\SoftStart\hw\DE-260924\Project Outputs for DE-260924\Pick Place for DE-260924.csv

========================================================================================================================
File Design Information:

Date:       18/10/24
Time:       11:47
Revision:   ce262caed910e678a89876fa7f1214edfbec0339
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P1","220VAC LIVE IN","TopLayer","WIRE_PAD","150.000","1900.000","0",""
"P3","220VAC NEUTRAL OUT","TopLayer","WIRE_PAD","150.000","1400.000","0",""
"P2","220VAC LIVE OUT","TopLayer","WIRE_PAD","150.000","1650.000","0",""
"P5","220VAC NEUTRAL IN","TopLayer","WIRE_PAD","150.000","1150.000","0",""
"P10","POWER TRAFO SEC.","TopLayer","WIRE_PAD","150.000","500.000","0",""
"P9","POWER TRAFO SEC.","TopLayer","WIRE_PAD","150.000","750.000","0",""
"C18","","TopLayer","0603","1760.000","1590.000","270","Ceramic Chip Capacitor - Standard"
"U4","ESDS552","TopLayer","DCK3_N","2160.000","1710.000","180","ESD Protection Array for AC Signal Data Interface, 2 Channels, -40 to +85 degC, 3-pin SC70 (DCK), Green (RoHS & no Sb/Br)"
"P7","CTRL","TopLayer","TERMINAL_BLOK_2","2410.000","700.000","0","Terminal blok konektor 3,5 mm"
"P6","POWER","TopLayer","TERMINAL_BLOK_3","2410.000","1200.000","0","3 pinski terminal blok konektor"
"P4","RS485","TopLayer","TERMINAL_BLOK_2","2410.000","1700.000","0","Terminal blok konektor 3,5 mm"
"C17","","TopLayer","0603","1690.000","1590.000","270","Ceramic Chip Capacitor - Standard"
"C16","","TopLayer","0603","1760.000","1310.000","270","Ceramic Chip Capacitor - Standard"
"C15","1uF","TopLayer","0603","1690.000","1310.000","270","Ceramic Chip Capacitor - Standard"
"C6","C0603","TopLayer","0603","1930.000","890.000","180","Ceramic Chip Capacitor - Standard"
"C5","C0603","TopLayer","0603","1930.000","950.000","180","Ceramic Chip Capacitor - Standard"
"C4","C0603","TopLayer","0603","1860.000","1100.000","180","Ceramic Chip Capacitor - Standard"
"C3","C0805","TopLayer","0805","1940.000","1020.000","180","Ceramic Chip Capacitor - Standard"
"K1","RPS","TopLayer","RPS_2CO_8A_24V","1030.787","2080.000","180",""
"U9","REG1117-3.3","TopLayer","ZZ311","1730.000","290.000","0","800mA and 1A Low Dropout Positive Regulator 2.85V, 3.3V, 5V, and Adjustable"
"U8","AP63205","TopLayer","TSOT-26","1501.181","132.598","0","2A synchronous  buck converter"
"U7","TLV803MDBZR","TopLayer","DBZ3_N","1660.000","720.000","180","Voltage Supervisor with Active-Low, Open Drain Reset, 1 Supply Monitored, -40 to 125 degC, 3-pin SOT-23 (DBZ), Green (RoHS & no Sb/Br)"
"U6","STM32F030F4P6","TopLayer","STM-TSSOP20_N","1650.000","980.000","90","ARM Cortex-M0 32-bit MCU, 16 KB Flash, 4 KB Internal RAM, 15 I/Os, 20-pin TSSOP, -40 to 85 degC, Tube"
"U5","MOC3052","TopLayer","DIP6","1260.000","1600.000","180","Zero-Cross Optoisolator Triac Driver"
"U3","SN75176BD","TopLayer","D008_N","2010.000","2080.000","270","Differential Bus Transceiver"
